wavelength,intensity
178.76,17.557
179.14,17.557
179.52,17.557
179.9,-3.9033
180.28,-9.3633
180.66,-72.943
181.04,-2.34
181.42,34.72
181.8,104.54
182.18,-54.225
182.55,-48.372
182.93,42.908
183.31,25.353
183.69,-15.6
184.07,-31.207
184.45,4.68
184.83,64.753
185.21,40.568
185.59,3.9
185.97,-113.52
186.35,-63.195
186.72,26.918
187.1,-30.43
187.48,-8.5833
187.86,47.59
188.24,-77.628
188.62,-12.093
189,3.9
189.38,26.527
189.75,47.982
190.13,-65.147
190.51,5.0733
190.89,20.673
191.27,-121.71
191.65,-15.603
192.03,-42.908
192.4,-30.427
192.78,11.313
193.16,27.307
193.54,75.677
193.92,36.668
194.3,62.803
194.67,-85.04
195.05,-5.85
195.43,54.223
195.81,-24.963
196.19,41.742
196.56,44.862
196.94,-5.85
197.32,-81.137
197.7,40.957
198.08,-60.075
198.45,-77.627
198.83,97.132
199.21,-39.01
199.59,-104.15
199.97,-90.892
200.34,-10.533
200.72,-79.578
201.1,-31.595
201.48,-70.218
201.85,-40.568
202.23,-72.947
202.61,42.52
202.99,16.383
203.36,-15.992
203.74,1.819e-12
204.12,-63.973
204.49,-57.735
204.87,-68.655
205.25,-78.407
205.63,68.265
206,-29.647
206.38,8.975
206.76,-60.463
207.14,20.282
207.51,7.0233
207.89,-48.373
208.27,45.25
208.64,47.982
209.02,12.872
209.4,10.14
209.77,-31.597
210.15,-189.58
210.53,-11.705
210.9,-80.75
211.28,73.337
211.66,-1.56
212.03,-41.74
212.41,49.15
212.79,-106.49
213.16,35.105
213.54,21.455
213.92,-3.5117
214.29,58.513
214.67,52.268
215.05,-16.383
215.42,-17.943
215.8,-32.375
216.17,-157.21
216.55,-46.81
216.93,-1.1683
217.3,3.51
217.68,0
218.05,-19.503
218.43,-20.675
218.81,32.765
219.18,-56.173
219.56,-24.963
219.93,-53.83
220.31,9.36
220.69,-42.128
221.06,47.2
221.44,5.0667
221.81,36.278
222.19,-7.0217
222.56,3.12
222.94,-11.312
223.32,-97.132
223.69,-14.043
224.07,-53.442
224.44,-44.082
224.82,47.593
225.19,100.64
225.57,27.305
225.94,13.265
226.32,23.795
226.69,40.572
227.07,-63.195
227.44,-53.832
227.82,-55.002
228.19,-99.083
228.57,-21.845
228.94,-46.81
229.32,29.257
229.69,19.895
230.07,62.803
230.44,-80.745
230.82,14.433
231.19,-87.38
231.57,38.618
231.94,21.845
232.32,57.733
232.69,46.808
233.07,-3.1233
233.44,19.895
233.82,-3.5117
234.19,-24.187
234.57,-62.803
234.94,30.43
235.31,-26.528
235.69,-51.102
236.06,-14.435
236.44,-39.787
236.81,-31.205
237.19,16.775
237.56,72.17
237.93,-2.7283
238.31,-9.7533
238.68,39.79
239.06,-8.5833
239.43,12.09
239.81,90.502
240.18,56.565
240.55,68.657
240.93,77.627
241.3,6.2433
241.67,57.343
242.05,8.9733
242.42,37.45
242.8,1.5583
243.17,8.19
243.54,88.938
243.92,102.2
244.29,-47.198
244.66,55.39
245.04,22.235
245.41,8.5817
245.78,0.39167
246.16,23.795
246.53,80.358
246.9,19.895
247.28,-37.838
247.65,-3.1233
248.02,-7.0217
248.4,82.308
248.77,-21.453
249.14,101.81
249.52,37.06
249.89,117.41
250.26,79.58
250.64,-15.605
251.01,1.1683
251.38,48.37
251.75,74.897
252.13,29.647
252.5,41.347
252.87,-25.747
253.25,61.243
253.62,-19.895
253.99,50.323
254.36,120.15
254.74,171.64
255.11,30.427
255.48,49.932
255.85,-82.698
256.23,92.45
256.6,8.58
256.97,12.87
257.34,148.62
257.71,53.052
258.09,163.84
258.46,-18.33
258.83,20.673
259.2,49.932
259.58,37.448
259.95,63.195
260.32,50.32
260.69,20.285
261.06,59.293
261.44,67.485
261.81,9.7533
262.18,37.06
262.55,115.08
262.92,65.145
263.29,57.343
263.67,151.35
264.04,79.578
264.41,114.29
264.78,80.358
265.15,30.817
265.52,96.738
265.9,42.91
266.27,52.663
266.64,79.58
267.01,27.697
267.38,-6.24
267.75,136.92
268.12,101.03
268.5,111.95
268.87,-7.8017
269.24,94.402
269.61,3.12
269.98,109.61
270.35,196.21
270.72,191.92
271.09,97.522
271.46,118.59
271.83,225.86
272.21,138.49
272.58,146.67
272.95,197.38
273.32,123.66
273.69,173.59
274.06,130.29
274.43,148.23
274.8,149.01
275.17,214.94
275.54,290.61
275.91,175.93
276.28,136.53
276.65,90.89
277.02,196.99
277.39,191.53
277.76,126.78
278.13,159.54
278.5,182.95
278.87,174.76
279.24,276.57
279.61,257.85
279.98,268.77
280.35,172.81
280.72,215.33
281.09,252.39
281.46,177.1
281.83,286.71
282.2,344.84
282.57,239.9
282.94,212.6
283.31,250.05
283.68,189.97
284.05,225.08
284.42,283.59
284.79,301.15
285.16,329.23
285.53,265.65
285.9,314.41
286.27,240.29
286.64,319.87
287.01,281.25
287.38,273.06
287.75,162.28
288.12,296.08
288.49,269.16
288.86,225.86
289.23,244.2
289.59,289.84
289.96,290.62
290.33,410.76
290.7,348.35
291.07,330.02
291.44,427.15
291.81,319.87
292.18,375.27
292.55,269.16
292.91,300.76
293.28,242.24
293.65,348.74
294.02,215.33
294.39,208.31
294.76,295.3
295.13,374.1
295.5,365.9
295.86,334.7
296.23,279.3
296.6,336.26
296.97,398.28
297.34,419.35
297.71,338.99
298.07,378.39
298.44,269.55
298.81,274.62
299.18,210.26
299.55,319.09
299.91,208.7
300.28,16.385
300.65,175.93
301.02,285.16
301.39,277.35
301.75,411.16
302.12,410.76
302.49,434.17
302.86,485.66
303.23,328.85
303.59,298.03
303.96,413.11
304.33,366.29
304.7,332.36
305.06,215.72
305.43,311.68
305.8,184.51
306.17,236
306.53,327.68
306.9,367.86
307.27,317.92
307.64,318.7
308,340.55
308.37,285.16
308.74,315.58
309.11,289.45
309.47,318.7
309.84,328.07
310.21,291.79
310.57,257.46
310.94,277.36
311.31,260.58
311.67,1226.1
312.04,248.88
312.41,189.59
312.77,210.65
313.14,211.43
313.51,226.25
313.87,230.54
314.24,253.56
314.61,343.67
314.97,250.44
315.34,323
315.71,307.78
316.07,339.38
316.44,252.78
316.81,217.67
317.17,271.11
317.54,350.3
317.91,186.46
318.27,188.81
318.64,143.16
319,132.63
319.37,109.22
319.74,263.31
320.1,267.99
320.47,242.64
320.83,144.72
321.2,215.33
321.57,205.19
321.93,191.53
322.3,222.35
322.66,156.43
323.03,267.99
323.4,280.08
323.76,156.03
324.13,125.61
324.49,159.93
324.86,144.72
325.22,181.39
325.59,237.95
325.95,248.1
326.32,207.92
326.68,282.82
327.05,257.46
327.42,138.87
327.78,161.5
328.15,154.87
328.51,162.28
328.88,136.53
329.24,98.695
329.61,103.76
329.97,97.52
330.34,95.183
330.7,115.86
331.07,121.71
331.43,109.22
331.8,140.04
332.16,14.435
332.52,74.117
332.89,92.453
333.25,101.81
333.62,88.162
333.98,-216.5
334.35,198.95
334.71,205.58
335.08,110.01
335.44,83.867
335.81,111.96
336.17,149.41
336.53,81.138
336.9,59.292
337.26,0.78167
337.63,49.15
337.99,173.2
338.36,81.528
338.72,61.242
339.08,141.99
339.45,42.13
339.81,124.05
340.18,104.93
340.54,165.4
340.9,113.9
341.27,76.458
341.63,23.405
341.99,147.45
342.36,55.783
342.72,118.98
343.09,95.573
343.45,104.93
343.81,31.987
344.18,47.98
344.54,147.06
344.9,122.1
345.27,69.047
345.63,95.18
345.99,138.87
346.36,38.622
346.72,115.86
347.08,47.588
347.45,26.915
347.81,131.46
348.17,150.18
348.54,25.748
348.9,58.513
349.26,12.875
349.62,103.76
349.99,84.258
350.35,129.9
350.71,55.002
351.08,89.328
351.44,24.967
351.8,148.62
352.16,78.797
352.53,10.925
352.89,77.63
353.25,138.87
353.61,78.407
353.98,75.288
354.34,117.81
354.7,76.068
355.06,87.377
355.43,97.523
355.79,65.535
356.15,40.962
356.51,-11.31
356.88,86.21
357.24,-20.283
357.6,132.63
357.96,56.953
358.32,138.87
358.69,45.638
359.05,28.478
359.41,121.32
359.77,95.965
360.13,30.815
360.49,26.528
360.86,33.547
361.22,-18.725
361.58,33.163
361.94,141.21
362.3,141.99
362.66,-3.9017
363.03,-0.39
363.39,20.285
363.75,12.875
364.11,106.49
364.47,39.398
364.83,59.683
365.19,76.847
365.56,110.4
365.92,48.762
366.28,77.24
366.64,-19.115
367,93.23
367.36,21.453
367.72,43.302
368.08,125.61
368.44,-34.718
368.8,107.66
369.17,104.93
369.53,19.115
369.89,99.082
370.25,1.56
370.61,26.14
370.97,105.71
371.33,23.405
371.69,110.4
372.05,51.49
372.41,-7.4117
372.77,25.745
373.13,66.315
373.49,84.26
373.85,71.778
374.21,83.867
374.57,39.785
374.93,-57.733
375.29,100.25
375.65,25.743
376.01,33.937
376.37,81.137
376.73,51.102
377.09,79.97
377.45,49.152
377.81,16.383
378.17,18.335
378.53,68.655
378.89,52.662
379.25,75.68
379.61,-44.47
379.97,27.698
380.33,69.048
380.69,25.355
381.05,11.702
381.41,51.102
381.77,-18.725
382.13,81.53
382.49,-24.188
382.85,82.7
383.21,51.495
383.57,88.94
383.93,88.55
384.28,56.562
384.64,7.41
385,-20.285
385.36,65.538
385.72,68.265
386.08,71.775
386.44,-87.382
386.8,100.25
387.16,23.013
387.52,96.74
387.87,-17.165
388.23,-17.555
388.59,40.958
388.95,44.082
389.31,64.755
389.67,23.795
390.03,65.145
390.38,-53.442
390.74,61.633
391.1,7.4133
391.46,49.152
391.82,43.3
392.18,29.258
392.54,18.333
392.89,15.995
393.25,-47.982
393.61,115.47
393.97,-34.327
394.33,6.2417
394.68,22.623
395.04,-19.893
395.4,28.085
395.76,20.675
396.12,75.675
396.47,69.827
396.83,26.915
397.19,61.247
397.55,21.85
397.9,99.08
398.26,-37.057
398.62,51.88
398.98,0
399.33,63.583
399.69,46.422
400.05,66.312
400.41,19.893
400.76,-11.705
401.12,0.77833
401.48,37.06
401.84,6.635
402.19,16.775
402.55,99.083
402.91,47.982
403.26,-24.967
403.62,5.8533
403.98,37.058
404.34,-30.038
404.69,-16.38
405.05,-21.455
405.41,-23.017
405.76,26.138
406.12,68.655
406.48,53.442
406.83,47.59
407.19,61.637
407.55,-0.0016667
407.9,-14.047
408.26,100.64
408.62,99.473
408.97,76.458
409.33,-35.885
409.68,-31.597
410.04,50.32
410.4,9.75
410.75,35.888
411.11,48.762
411.47,73.727
411.82,49.927
412.18,97.137
412.53,24.573
412.89,9.3633
413.25,62.413
413.6,15.993
413.96,-9.7517
414.31,43.692
414.67,-47.202
415.03,63.193
415.38,28.477
415.74,-7.0233
416.09,-104.55
416.45,83.872
416.8,20.285
417.16,73.335
417.51,3.12
417.87,-36.28
418.23,19.117
418.58,-1.95
418.94,10.925
419.29,3.9
419.65,-33.547
420,7.8017
420.36,-39.007
420.71,-25.743
421.07,-25.355
421.42,-36.663
421.78,46.422
422.13,-16.383
422.49,31.208
422.84,50.322
423.2,24.575
423.55,29.258
423.91,3.9
424.26,-53.832
424.61,24.183
424.97,3.9017
425.32,64.367
425.68,55.002
426.03,83.87
426.39,-90.893
426.74,62.807
427.1,74.508
427.45,66.707
427.8,17.167
428.16,119.37
428.51,-26.527
428.87,18.335
429.22,118.59
429.58,33.157
429.93,76.067
430.28,37.448
430.64,49.932
430.99,-6.63
431.35,-39.4
431.7,-67.487
432.05,62.805
432.41,77.627
432.76,85.038
433.11,23.015
433.47,-182.95
433.82,33.937
434.17,5.4617
434.53,61.633
434.88,-60.85
435.24,66.313
435.59,51.883
435.94,76.065
436.3,71.385
436.65,96.353
437,106.88
437.35,-10.53
437.71,-24.185
438.06,-9.36
438.41,35.5
438.77,6.24
439.12,113.52
439.47,34.718
439.83,83.478
440.18,3.12
440.53,20.675
440.88,53.052
441.24,24.183
441.59,26.915
441.94,88.55
442.3,-26.137
442.65,150.18
443,-48.372
443.35,69.823
443.71,2.7317
444.06,81.527
444.41,51.49
444.76,51.88
445.11,90.498
445.47,-19.895
445.82,108.44
446.17,61.633
446.52,39.79
446.88,40.96
447.23,4.68
447.58,-47.592
447.93,20.675
448.28,110.78
448.63,-89.72
448.99,-3.9017
449.34,79.577
449.69,108.06
450.04,62.025
450.39,93.62
450.74,21.453
451.1,59.295
451.45,15.603
451.8,32.378
452.15,32.377
452.5,119.37
452.85,-129.9
453.21,33.937
453.56,15.995
453.91,-4.68
454.26,68.267
454.61,-30.82
454.96,33.548
455.31,25.745
455.66,37.448
456.01,-56.173
456.36,-65.535
456.72,6.63
457.07,64.755
457.42,33.937
457.77,5.8483
458.12,-35.885
458.47,108.44
458.82,65.148
459.17,-28.868
459.52,56.953
459.87,-102.6
460.22,20.285
460.57,15.605
460.92,85.035
461.27,33.157
461.62,84.647
461.97,27.31
462.32,31.207
462.67,158.38
463.02,-41.74
463.38,115.08
463.73,37.45
464.08,4.6817
464.43,171.25
464.78,53.048
465.12,58.123
465.47,-12.483
465.82,-163.84
466.17,39.395
466.52,50.712
466.87,21.067
467.22,50.713
467.57,0.78
467.92,40.57
468.27,17.945
468.62,31.597
468.97,122.88
469.32,44.082
469.67,163.84
470.02,6.6317
470.37,66.707
470.72,-9.7533
471.07,10.53
471.42,57.733
471.76,19.893
472.11,6.2383
472.46,-39.008
472.81,-13.655
473.16,33.16
473.51,34.328
473.86,55.392
474.21,99.863
474.56,32.767
474.9,52.662
475.25,-7.8017
475.6,73.337
475.95,24.187
476.3,67.485
476.65,8.9733
477,23.015
477.34,106.49
477.69,138.87
478.04,95.96
478.39,71.385
478.74,40.568
479.09,44.078
479.43,-17.943
479.78,-21.453
480.13,106.11
480.48,10.923
480.83,26.917
481.17,30.425
481.52,-9.7533
481.87,86.988
482.22,-30.423
482.57,2.7317
482.91,75.677
483.26,50.712
483.61,60.462
483.96,64.362
484.3,-320.65
484.65,-23.792
485,31.988
485.35,-62.807
485.69,-81.528
486.04,56.95
486.39,21.062
486.74,75.283
487.08,83.088
487.43,44.862
487.78,92.448
488.12,44.472
488.47,60.073
488.82,67.875
489.17,63.585
489.51,42.132
489.86,116.25
490.21,42.912
490.55,58.125
490.9,-1.5617
491.25,-46.033
491.59,44.862
491.94,30.817
492.29,6.24
492.63,44.08
492.98,27.307
493.33,64.755
493.67,57.73
494.02,9.7533
494.37,65.537
494.71,0.38833
495.06,12.875
495.4,64.753
495.75,70.608
496.1,115.08
496.44,-36.28
496.79,34.718
497.13,128.73
497.48,5.46
497.83,19.895
498.17,30.818
498.52,87.38
498.86,-0.78167
499.21,28.865
499.56,-13.657
499.9,42.13
500.25,54.613
500.59,67.483
500.94,-49.152
501.28,21.455
501.63,-96.353
501.97,23.405
502.32,-10.533
502.67,75.677
503.01,107.66
503.36,67.093
503.7,31.988
504.05,110.4
504.39,31.988
504.74,38.618
505.08,23.797
505.43,65.535
505.77,7.4117
506.12,54.615
506.46,8.9717
506.81,-15.217
507.15,50.323
507.49,52.273
507.84,37.447
508.18,3.1233
508.53,3.12
508.87,63.585
509.22,17.163
509.56,0
509.91,-12.482
510.25,62.025
510.6,48.368
510.94,49.54
511.28,47.59
511.63,125.22
511.97,57.732
512.32,-26.137
512.66,30.425
513,24.963
513.35,35.112
513.69,8.1917
514.04,46.422
514.38,74.898
514.72,-30.038
515.07,62.025
515.41,50.323
515.76,145.51
516.1,20.283
516.44,-10.53
516.79,55.392
517.13,113.91
517.47,12.873
517.82,40.96
518.16,-30.427
518.5,86.212
518.85,28.477
519.19,90.113
519.53,97.912
519.88,-5.07
520.22,49.54
520.56,7.0233
520.91,5.85
521.25,89.332
521.59,76.067
521.93,-15.605
522.28,32.77
522.62,108.44
522.96,59.685
523.31,96.742
523.65,47.202
523.99,63.973
524.33,35.495
524.68,1.5617
525.02,-30.43
525.36,1.9517
525.7,21.843
526.05,80.36
526.39,10.922
526.73,30.037
527.07,65.533
527.41,-23.405
527.76,-3.9017
528.1,-23.017
528.44,70.993
528.78,35.11
529.12,79.968
529.47,47.98
529.81,114.3
530.15,33.155
530.49,37.058
530.83,43.692
531.18,16.772
531.52,-8.1917
531.86,-5.0717
532.2,10.532
532.54,77.24
532.88,33.548
533.22,34.33
533.57,33.548
533.91,-16.773
534.25,52.66
534.59,-0.78
534.93,44.47
535.27,-21.455
535.61,30.035
535.95,60.853
536.3,90.503
536.64,99.083
536.98,102.59
537.32,62.022
537.66,73.335
538,62.412
538.34,128.34
538.68,33.545
539.02,39.788
539.36,71.385
539.7,-14.042
540.04,29.26
540.39,-11.315
540.73,44.082
541.07,54.61
541.41,14.432
541.75,31.597
542.09,53.052
542.43,9.7517
542.77,66.315
543.11,-5.8517
543.45,23.405
543.79,27.695
544.13,47.983
544.47,59.683
544.81,6.6317
545.15,17.163
545.49,19.898
545.83,-31.207
546.17,42.132
546.51,-3.9
546.85,133.41
547.19,-51.492
547.53,97.912
